,Основное имя (Английский),Основное описание (Английский),Основной адрес
0,Kurgan burial ground Karakystak 1,"Burial ground occupies the left floodplain terrace of the river. Consists of 15 kurgans located haphazardly or elongated in chains in the meridional direction. The mounds are built of stones and earth. Some have stone rings at the base. Kurgans differ: large - 25 m in diameter, 2-3 m high, medium - 12-18 m in diameter, 1-2 m high, and small - 8-10 m in diameter, 1 m high. The mounds are spherical or cone-shaped, traces of robberies Dont Have. The eastern boundary of the burial ground is a chain of 6 kurgans, stretched along a north-south line. Discovered in 1977 by geologist Volchkov B.A. Examined in August 1980 by the Dzhambul archaeological team of the Ministry of Culture of the Kazakh SSR. No excavations have been made.","Жамбылская область, Рыскуловский район (ранее Луговской район), в 2 км. вверх по течению р.Каракыстак от впадения р.Теректы"
1,Burials in fences,"Burials are located on both banks of the stream. Tombstones - round and square fences. The walls of the enclosures are wide - several stones (0.8-1.2 m), 0.5-0.7 m high. A square fence with a side of 6 m, round with a diameter of 8-10 m. Some structures are in contact with the walls. Large fences are adjoined by small ones made of one row of stones. All of them are rectangular, 2x1 m in size. The fences are built of large rolled stone. Discovered by geologist B.A. Volchkov","Жамбылская область, Рыскуловский район (ранее Луговской район), верховье ручья Ашимайлы"
2,burial ground,"The cemetery includes a rectangular fence and 7 round mounds. Grave structures are made of large blocks of rolled stone. Round stone ripraps are concentrated near the southern wall of the enclosure. Probably later in time. Diameter of round stone fill is 1-2 m, height 0.3 m. Two of them are built inside the enclosure in the northwestern and northeastern corners. Fence (11x10 M.) is oriented along the west-east line, has a wall width of 0.8 M. In the center of the structure, two oval hilly 2.2x1.5 M. elongated from north to south are noticeable. Discovered by geologist B.A. Volchkov","Жамбылская область, Рыскуловский район (ранее Луговской район)"
3,Burials in ring-shaped enclosures,"The ring excavations are located on the second terrace above the floodplain on the left bank of the stream. The walls of the ""rings"" are made of large stones. The diameter of the first calculation is 6 m, the height is 0.6 m. At 1 km. To the east, a ring-shaped layout with a diameter of 1.5 m was built. To the southwest and southeast of the large ring, there are large stones laid in pairs or three pieces. Discovered in 1977 by geologist B.A. Volchkov","Жамбылская область, Рыскуловский район (ранее Луговской район)"
4,religious building,"Religious building of oval shape. It is composed of two-meter granite blocks, shifted together by three stones. In total, there are 18 blocks in the structure. It occupies an area of ​​20x17 m. It is oriented in the meridional direction. 8 M. South of the oval, from blocks (in groups of 3 stones), an arcuate line is laid out, 18 m long, which stretches from the northeast to the southwest. Discovered by geologist B.A. Volchkov","Жамбылская область, Рыскуловский район (ранее Луговской район)"
5,Taldybulak burial ground,"The burial ground includes: ring-shaped fence, kurgans, ground cult calculations. Ring-shaped fence, 12 m in diameter and 0.5 m high. It has wide (1 m) walls made of densely packed stones. In the northern part, two large stone blocks are inserted into the wall. The space between them, 2 m wide, is filled with stone. This is probably where the entrance was. Kurgans with stone mounds, flat, round, 1-2 m in diameter and 3 m high. They are concentrated in the northeast and south directions from the enclosure. The southern kurgans are located in a chain in a northwesterly direction. Ritual layouts are suitable for some mounds - arched, straight, etc. They are in the form of wide strips (1 M.) or single-row stone lines. The direction is different. Discovered in August 1977 by geologist B.A. Volchkov","Жамбылская область, Рыскуловский район (ранее Луговской район)"
6,Settlement,"Remains of walls made of stone are visible on the surface of the earth. Their breadth is about 1 M. In the direction of masonry, rectangular and square rooms are distinguished, sized 12x9 m, 12x12 m, 7x5 M. Etc. Some rooms are completely hidden by the ground. The rooms are oriented according to the cardinal directions. A fence stands out, probably limiting the yard. It runs along a south-north line. Near the settlement, 4 stone mounds were built, with a diameter of 3-4 m. And a height of 0.3 m. Lifting material collected: fragments of pottery","Жамбылская область, Рыскуловский район (ранее Луговской район)"
7,Kok-kiya burial ground,"Burial ground stretches from north to south. It consists of various tomb structures: kurgans, rectangular, oval enclosures, circular layouts. The beginning of the burial ground forms a round stone barrow, 5 M in diameter and 0.3 M high. To the west of it, in two rows, from north to south, there are elevations with diameters from 1 M to 1.5 M (9 in total). There are 9 rectangular fences of various sizes in the burial ground, 3 of which are stacked in one row of stones, others in several rows in the form of a wide strip. Two fences have an oval shape with dimensions of 8x5 M. And 5x4 M. The round layout is folded in the form of a wide ring, with a diameter of 3 M. Discovered in 1977 by geologist Volchkov B. A","Жамбылская область, Рыскуловский район (ранее Луговской район)"
8,stone statue,"Granite monolith, the upper part of which is interpreted in the form of a human head, the face of which is carved by dot technique on the monolith in the form of a schematic line. The face is embossed with curved eyebrows, nose, eyes and mouth. The eyes and mouth are depicted as ovals in the center of which there are slits-notches. The length of the statue is 85 cm, the breadth is 26 cm. The stone statue was brought from the mountains to the river valley. Discovered in 1977 by geologist B.A. Volchkov","Жамбылская область, Рыскуловский район (ранее Луговской район)"
9,Kurgan group Kyzylkaynar,"Burial ground is located on the watershed of two streams. It consists of seven kurgans, with diameters from 2.5 M. to 5 M. and heights from 0.2 M. to 0.3 M. The mounds are made of large rolled stone. Judging by the appearance, the burials were carried out in a relatively limited period of time. Examined in August 1980 by the Dzhambul archaeological team of the Ministry of Culture of the Kazakh SSR","Жамбылская область, Рыскуловский район (ранее Луговской район)"
