Russian,Englishh
 сопрту,sport
 под рук.,under the directorship of
 на 1 стр, on 1 page
 на 2 стр, on 2 pages
 на 3 стр, on 3 pages
 на 4 стр, on 4 pages
 на 5 стр, on 5 pages
 на 6 стр, on 6 pages
 на 7 стр, on 7 pages
 на 8 стр, on 8 pages
 на 9 стр, on 9 pages
разрез,cross-section
приложения,appendices
приложение,appendix
Китай ,China 
Каракалпакстан ,Karakalpakstan 
Казахстан ,Kazakhstan
 Кыргызстан ,Kyrgyzstan
Таджикистан ,Tajikistan
 уркменистан ,Turkmenistan
Узбекистан ,Uzbekistan
Китайский, 中文
Английский,English
Казакхский,Қазақша
Киргизский,Кыргызча
Каракалпакский,Қарақалпақша
Русский ,Русский
Таджикский,Тоҷикӣ
Туркменский ,Türkmençe
Арабский ,ئۇيغۇر 
Узбекский,Ўзбекча (O'zbekcha)
Археологический памятник,Archaeological site
Историческое здание,Historic Building
Ландшафт ,Landscape
Предмет ,Object 
Структура,Structure
Археологический памятник,Archaeological site
Историческое здание,Historic Building
Ландшафт,Landscape
Предмет,Object 
Структура,Structure
Городище,Hillfort
Город,City
Округ / сельский административный округ,County
Участок,District
Этрап,Etrap
Соседство,Neighbourhood
Область,Oblast
Префектура,Prefecture
Провинция,Province
Район,Rayon
Туман,Tuman
Село/Посёлок,Village/settlement
Вилоят,Viloyat
Велаят,Welayat
Ранняя античность,Early Antiquity
АХЕМЕНИДЫ,ACHAEMENID
ЧАГАТАЙСКОЕ ХАНСТВО,CHAGATAI KHANATE
Мавераннахр,Western Chagatai Khanate (Mawerenahr)
Моголистан,Eastern Chagatai Khanate (Moghulistan)
ГАЗНЕВИДЫ,GHAZNAVID
ГРЕКО-БАКТРИЙСКИЙ,GRECO-BACTRIAN
Греко-македонский,GREEK-MACEDONIAN
ЭЛЛИНИСТИЧЕСКИЙ,HELLENISTIC
ЭФТАЛИТЫ,HEPHTHALITE
КУШАНСКИЙ,KUSHAN
МОНГОЛЫ,MONGOL
ПАРФЯНЕ,PARTHIAN
САРМАТЫ,SARMATIANS
САСАНИДЫ,SASANIAN
Шейбаниды,Shaybanids
СЕЛЕВКИДЫ,SELEUCID
СОГДИЙСКИЙ,SOGDIAN
ТИБЕТСКАЯ ИМПЕРИЯ,TIBETAN EMPIRE
ТИМУРИДСКИЙ,TIMURID
ТЮРКСКИЙ КАГАНАТ,TURKIC KHAGANATE
ВОСТОЧНО-ТЮРКСКИЙ КАГАНАТ,EASTERN TURKIC KHAGANATE
ЗАПАДНО-ТЮРКСКИЙ КАГАНАТ,WESTERN TURKIC KHAGANATE
УЙГУРСКИЙ КАГАНАТ,UYGHUR KHAGANATE
ХУННУ (СЮННУ),XIONGNU
Династия Ся,Xia Dynasty
Династия Шан,Shang Dynasty
Западный Чжоу,Western Zhou
Восточная Чжоу,Eastern Zhou
Весенний и осенний период (период Чуньцю),Eastern Zhou Spring and Autumn Period
ВРАЖДУЮЩИЕ ЦАРСТВА,Eastern Zhou Warring States Period
Династия Чин,Qin Dynasty
Династия Хан,Han Dynasty 
ТРОЕЦАРСТВИЕ,"Wei, Jin, Southern and Northern Dynasties"
ДИНАСТИЯ СУН,Sui
ДИНАСТИЯ ТАН,Tang
Период пяти династий и десяти королевств,Five Dynasties and Ten Kingdoms Period 
Династия Сун,Song Dynasty
Династия юань,Yuan Dynasty
 МИН ,Ming Dynasty 
ДИНАСТИЯ ЧИНГ,Qing Dynasty
Китайская Республика,Republic of China 
АББАСИДЫ,ABBASID
РАННЕ-ИСЛАМСКИЙ,EARLY ISLAMIC
ГАЗНЕВИДЫ,GHAZNAVID
КАРАХАНИДСКИЙ,KARAKHANID
ХОРЕЗМИЙСКИЙ,KHWARAZMIAN
